year;gender;study_level;major;ai_usage_frequency;primary_ai_use;academic_integrity_training;study_hours_week;ai_hours_week;attendance_rate;assignment_completion_rate;exam_score;gpa
2025;female;phd;social sciences;never;studying/flashcards;yes;20.6;2.4;92.7;96.5;99.1;4.0
2024;male;undergraduate;engineering;daily;coding help;yes;25.8;6.9;87.0;79.5;99.5;3.98
2023;female;undergraduate;engineering;weekly;writing support;yes;22.7;8.4;94.1;81.9;94.3;3.67
2023;male;undergraduate;engineering;weekly;concept explanation;yes;18.89;4.1;83.0;86.01;71.0;3.05
2023;female;masters;social sciences;weekly;writing support;yes;13.5;3.0;89.0;75.9;82.6;3.58
2024;male;undergraduate;business;weekly;coding help;yes;10.8;3.6;95.6;92.3;85.3;3.87
2024;female;undergraduate;business;daily;studying/flashcards;yes;22.8;7.8;87.8;89.5;84.7;3.68
2025;female;undergraduate;engineering;daily;coding help;no;21.8;6.0;91.2;98.2;88.3;3.84
2024;female;undergraduate;engineering;daily;concept explanation;yes;18.7;6.9;86.5;80.2;100.0;3.85
2024;male;undergraduate;engineering;daily;concept explanation;no;25.2;5.2;90.0;98.4;100.0;3.81
2023;female;masters;business;never;concept explanation;no;29.3;0.0;94.0;94.1;82.4;3.69
2025;male;undergraduate;health sciences;daily;research/reading;yes;20.2;5.9;100.0;88.2;100.0;4.0
2024;male;undergraduate;business;weekly;translation;no;16.6;2.3;87.9;80.6;100.0;4.0
2024;male;undergraduate;social sciences;daily;research/reading;yes;18.9;4.9;89.6;82.1;98.2;3.99
2025;male;undergraduate;business;rarely;studying/flashcards;yes;24.5;2.5;90.2;86.6;81.6;3.66
2024;male;undergraduate;engineering;daily;writing support;no;12.7;7.9;92.1;89.0;78.4;3.46
2025;female;undergraduate;social sciences;daily;coding help;yes;13.8;7.4;78.0;82.9;87.66;3.74
2025;female;masters;computer science;daily;translation;yes;27.7;10.3;93.4;89.3;100.0;4.0
2024;male;undergraduate;health sciences;weekly;studying/flashcards;yes;14.6;4.5;86.2;99.3;78.0;3.56
2025;female;masters;business;weekly;writing support;yes;26.7;6.6;89.3;90.6;90.4;3.72
2024;female;undergraduate;education;weekly;coding help;yes;20.0;4.4;94.4;71.5;76.8;3.35
2024;female;undergraduate;engineering;daily;studying/flashcards;no;20.9;5.9;82.8;97.6;90.9;4.0
2023;male;masters;computer science;rarely;coding help;yes;15.6;3.2;89.9;89.0;93.6;4.0
2023;female;undergraduate;engineering;weekly;research/reading;yes;10.0;5.1;72.8;85.0;80.7;3.79
2024;female;undergraduate;arts humanities;weekly;coding help;yes;29.7;2.2;89.5;82.4;97.3;3.91
2025;female;undergraduate;engineering;rarely;writing support;yes;15.5;0.0;83.9;87.6;85.8;3.84
2024;female;undergraduate;business;daily;writing support;yes;24.6;7.4;73.2;82.1;87.3;3.92
2024;female;masters;engineering;daily;writing support;yes;21.9;6.0;95.1;79.3;85.3;3.63
2024;male;undergraduate;engineering;weekly;writing support;no;13.9;6.5;93.5;74.3;81.0;3.53
2025;female;masters;computer science;daily;studying/flashcards;yes;19.5;6.4;77.7;86.4;86.4;3.69
2023;female;masters;computer science;weekly;concept explanation;yes;24.5;4.3;86.9;87.5;94.3;3.87
2023;female;undergraduate;business;daily;concept explanation;yes;8.9;7.8;83.5;73.6;62.2;3.11
2023;female;undergraduate;health sciences;daily;other;yes;16.3;8.6;81.0;73.9;85.7;3.7
2024;male;masters;arts humanities;weekly;coding help;yes;18.0;4.0;94.5;90.8;84.3;3.65
2023;female;undergraduate;business;weekly;translation;yes;22.2;4.9;78.1;88.8;90.1;3.56
2025;male;undergraduate;engineering;daily;studying/flashcards;yes;34.9;6.5;79.3;76.6;100.0;3.92
2025;female;undergraduate;computer science;weekly;studying/flashcards;yes;17.2;6.6;82.5;74.1;89.8;3.78
2023;male;undergraduate;education;never;research/reading;yes;15.3;0.0;89.2;86.4;64.3;3.32
2024;male;undergraduate;social sciences;weekly;coding help;yes;7.2;3.6;75.3;66.6;87.66;3.74
2025;male;undergraduate;arts humanities;daily;coding help;yes;12.9;9.7;86.6;73.9;85.5;3.6
2023;male;undergraduate;health sciences;weekly;writing support;yes;16.3;6.0;85.6;83.2;81.5;3.48
2023;male;masters;computer science;weekly;coding help;yes;33.6;2.0;90.1;100.0;100.0;4.0
2024;female;undergraduate;business;weekly;research/reading;yes;13.3;3.6;89.4;87.6;87.2;3.74
2025;female;undergraduate;social sciences;daily;concept explanation;no;27.8;6.3;90.4;96.8;88.6;4.0
2025;female;undergraduate;engineering;weekly;coding help;yes;34.1;3.2;84.3;83.7;100.0;4.0
2023;male;undergraduate;social sciences;rarely;coding help;yes;24.2;1.1;84.8;88.1;86.4;3.55
2025;male;undergraduate;computer science;daily;translation;yes;29.1;7.5;80.2;74.8;91.1;3.74
2025;male;undergraduate;health sciences;weekly;translation;yes;18.0;2.5;85.5;81.3;79.7;3.8
2023;female;masters;computer science;weekly;coding help;yes;25.5;2.9;92.4;88.5;100.0;4.0
2025;male;undergraduate;business;weekly;coding help;no;18.9;4.3;85.6;77.2;100.0;3.95
2023;female;undergraduate;business;weekly;concept explanation;no;25.2;4.5;97.1;100.0;87.1;3.83
2025;female;undergraduate;business;weekly;other;no;13.4;3.1;94.7;81.9;82.9;3.52
2023;female;undergraduate;social sciences;weekly;studying/flashcards;yes;8.2;3.2;81.2;75.4;83.8;3.57
2023;female;undergraduate;arts humanities;weekly;writing support;yes;16.7;1.1;81.8;85.5;99.8;4.0
2023;female;phd;computer science;weekly;research/reading;no;19.9;6.5;89.6;100.0;100.0;4.0
2025;male;undergraduate;computer science;daily;studying/flashcards;yes;13.4;6.4;83.8;80.2;91.3;3.93
2024;male;undergraduate;computer science;daily;studying/flashcards;no;18.65;6.8;93.9;78.7;62.9;3.12
2023;female;masters;engineering;weekly;research/reading;no;23.8;2.9;84.7;78.6;93.2;3.91
